NOW,TEAM_ID,millis,count,altp,temp,umi,p,gp,gr,gy,ap,ar,ay,hora,data,alt,lat,lon,sat,pqd,rssi
2025-10-31 21:01:21,#100,351991,883,8.95,21.44,nan,921.33,-0.06,0.15,0.31,-2.92,4.81,7.90,00:01:11,2025/11/01,917.40,-22.28691950,-42.54173983,4,1,-79
2025-10-31 21:01:21,#100,352547,884,9.26,21.44,nan,921.30,0.76,-0.32,-0.15,-3.80,5.80,5.70,00:01:12,2025/11/01,917.50,-22.28691933,-42.54175133,4,1,-78
2025-10-31 21:01:22,#100,353100,885,9.32,21.45,nan,921.29,-0.79,-0.03,0.36,-2.32,3.95,4.36,00:01:12,2025/11/01,917.50,-22.28691933,-42.54175133,4,1,-86
2025-10-31 21:01:22,#100,354200,887,9.48,21.46,nan,921.27,0.07,0.28,-0.14,-4.51,4.36,4.20,00:01:13,2025/11/01,917.60,-22.28691567,-42.54176283,4,1,-71
2025-10-31 21:01:23,#100,355305,889,9.19,21.49,nan,921.31,0.01,-0.10,-0.21,-2.15,6.29,7.39,00:01:14,2025/11/01,917.00,-22.28691883,-42.54178950,4,1,-73
2025-10-31 21:01:23,#100,355883,890,9.17,21.49,nan,921.31,-0.50,0.23,-0.19,-2.94,5.89,8.52,00:01:15,2025/11/01,917.10,-22.28691800,-42.54179617,4,1,-70
2025-10-31 21:01:24,#100,356380,891,9.23,21.50,nan,921.30,-0.45,-0.56,0.08,-2.20,6.99,7.53,00:01:15,2025/11/01,917.10,-22.28691800,-42.54179617,4,1,-75
2025-10-31 21:01:24,#100,356926,892,9.16,21.51,nan,921.31,0.09,0.35,-0.20,-2.09,6.21,8.40,00:01:16,2025/11/01,917.20,-22.28691983,-42.54180933,4,1,-77
2025-10-31 21:01:25,#100,358156,894,9.10,21.52,nan,921.32,-0.32,0.31,-0.21,-2.07,3.59,5.24,00:01:17,2025/11/01,917.10,-22.28692200,-42.54182417,4,1,-74
2025-10-31 21:01:25,#100,360232,898,9.16,21.55,nan,921.31,0.64,0.03,-0.61,-2.69,3.55,7.08,00:01:19,2025/11/01,917.70,-22.28692117,-42.54185333,5,1,-78
2025-10-31 21:01:27,#100,362434,902,9.24,21.49,nan,921.30,-1.10,0.33,1.18,-2.06,5.28,7.82,00:01:22,2025/11/01,916.60,-22.28694300,-42.54192583,5,1,-73
2025-10-31 21:01:27,#100,363538,904,9.17,21.45,nan,921.31,0.24,0.09,-0.08,-1.61,5.50,7.02,00:01:23,2025/11/01,915.90,-22.28694583,-42.54193550,5,1,-64
2025-10-31 21:01:28,#100,364635,906,9.01,21.43,nan,921.32,0.15,-0.39,-0.11,-1.19,5.44,7.80,00:01:24,2025/11/01,914.70,-22.28695400,-42.54193700,5,1,-65
2025-10-31 21:01:28,#100,365187,907,9.15,21.43,nan,921.31,-0.25,-0.32,-0.75,-0.59,6.35,7.35,00:01:24,2025/11/01,914.70,-22.28695400,-42.54193700,5,1,-63
2025-10-31 21:01:29,#100,366967,910,9.07,21.44,nan,921.32,0.02,0.53,0.46,-1.06,3.75,6.62,00:01:26,2025/11/01,911.90,-22.28697133,-42.54200300,4,1,-71
2025-10-31 21:01:29,#100,367941,912,9.01,21.44,nan,921.32,-0.30,0.66,0.07,-1.36,3.76,7.78,00:01:27,2025/11/01,911.20,-22.28697700,-42.54201717,5,1,-63
2025-10-31 21:01:30,#100,369040,914,9.05,21.43,nan,921.32,-0.09,-0.35,-0.89,-3.48,3.74,8.03,00:01:28,2025/11/01,910.00,-22.28697283,-42.54203317,4,1,-73
2025-10-31 21:01:30,#100,369594,915,9.54,21.44,nan,921.27,-0.11,-0.57,-0.66,-3.08,5.01,7.24,00:01:29,2025/11/01,909.90,-22.28697050,-42.54203450,5,1,-52
2025-10-31 21:01:31,#100,370698,917,9.44,21.48,nan,921.28,-0.47,0.39,0.43,-4.53,2.52,9.88,00:01:30,2025/11/01,909.10,-22.28696967,-42.54203400,5,1,-55
2025-10-31 21:01:31,#100,371796,919,9.31,21.51,nan,921.29,0.06,-0.33,0.18,-2.52,2.85,8.34,00:01:31,2025/11/01,908.50,-22.28697417,-42.54203933,5,1,-58
2025-10-31 21:01:32,#100,372345,920,8.93,21.52,nan,921.33,-0.04,0.10,-0.02,-0.41,5.58,8.24,00:01:31,2025/11/01,908.50,-22.28697417,-42.54203933,5,1,-49
2025-10-31 21:01:32,#100,372899,921,9.39,21.53,nan,921.28,-0.46,0.72,0.06,-1.16,5.78,8.42,00:01:32,2025/11/01,908.10,-22.28697233,-42.54204067,5,1,-50
2025-10-31 21:01:33,#100,373980,923,9.08,21.56,nan,921.32,0.23,-0.61,-1.10,0.21,5.49,7.29,00:01:33,2025/11/01,907.00,-22.28697617,-42.54205450,5,1,-54
2025-10-31 21:01:33,#100,375083,925,9.44,21.57,nan,921.28,-0.11,0.15,-0.05,-0.94,5.51,7.42,00:01:34,2025/11/01,905.50,-22.28697400,-42.54206300,5,1,-49
2025-10-31 21:01:34,#100,376178,927,8.92,21.58,nan,921.34,-0.51,0.18,-0.61,-2.53,5.74,6.04,00:01:35,2025/11/01,903.90,-22.28697533,-42.54206867,5,1,-49
2025-10-31 21:01:34,#100,376727,928,9.17,21.59,nan,921.31,0.22,0.09,0.33,-2.29,3.89,8.03,00:01:36,2025/11/01,902.80,-22.28697517,-42.54207383,5,1,-48
2025-10-31 21:01:35,#100,377283,929,9.26,21.60,nan,921.30,-0.15,0.02,0.49,-2.34,5.06,8.15,00:01:36,2025/11/01,902.80,-22.28697517,-42.54207383,5,1,-52
2025-10-31 21:01:35,#100,377832,930,9.09,21.61,nan,921.32,-0.34,0.35,1.32,-0.78,4.07,9.22,00:01:37,2025/11/01,902.10,-22.28697700,-42.54208033,5,1,-50
2025-10-31 21:01:36,#100,378934,932,9.11,21.57,nan,921.31,-0.28,0.37,0.83,-2.00,4.97,6.98,00:01:38,2025/11/01,909.00,-22.28696433,-42.54205967,4,1,-59
2025-10-31 21:01:36,#100,380036,934,8.91,21.54,nan,921.34,0.61,-0.68,-0.70,-0.83,3.80,7.44,00:01:39,2025/11/01,909.00,-22.28696233,-42.54205400,5,1,-60
2025-10-31 21:01:38,#100,381134,936,9.00,21.55,nan,921.33,-0.65,0.81,1.55,-1.44,2.56,7.94,00:01:40,2025/11/01,909.00,-22.28696200,-42.54205300,5,1,-59
2025-10-31 21:01:38,#100,381692,937,9.00,21.56,nan,921.33,0.55,0.43,0.87,-1.37,6.57,8.13,00:01:41,2025/11/01,909.00,-22.28696117,-42.54205883,5,1,-57
2025-10-31 21:01:39,#100,382787,939,8.97,21.55,nan,921.33,-0.08,-2.06,-0.48,-2.25,2.83,4.07,00:01:42,2025/11/01,908.90,-22.28696017,-42.54206450,5,1,-60
2025-10-31 21:01:40,#100,383339,940,9.09,21.57,nan,921.32,0.19,0.26,-0.22,2.89,9.99,7.16,00:01:42,2025/11/01,908.90,-22.28696017,-42.54206450,5,1,-66
